s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,TC_001,TC_002,TC_003,TC_004,TC_005,TC_006,TC_007,TC_008,TC_009,TC_010,TC_011,TC_012,TC_013,TC_014,TC_015,TC_016,TC_017,TC_018,TC_019,TC_020,TC_021,TC_022,TC_023,TC_024,TC_025,TC_026,TC_027,TC_028,TC_029,TC_030,TC_031,TC_032,TC_033,TC_034,TC_035,TC_036,TC_037,TC_038,TC_039,TC_040,TC_041,TC_042,TC_043,TC_044,TC_045,TC_046,TC_047,TC_048,TC_049,TC_050,TC_051,TC_052,TC_053,TC_054,TC_055,TC_056,TC_057,TC_058,TC_059,TC_060,TC_061,TC_062,TC_063,TC_064,TC_065,TC_066,TC_067,TC_068,TC_069,TC_070,TC_071,TC_072,TC_073,TC_074,TC_075,TC_076,TC_077,TC_078,TC_079,TC_080,TC_081,TC_082,TC_083,TC_084,TC_085,TC_086,TC_087,TC_088,TC_089,TC_090,TC_091,TC_092,TC_093,TC_094,TC_095,TC_096,TC_097,TC_098,TC_099,TC_100,TC_101,TC_102,TC_103,TC_104,O2_FLOOR,CO2_FLOOR,CO_FLOOR,O2_VENT,CO2_VENT,CO_VENT,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 0.000E+000, 2.078E-001, 3.868E-004, 0.000E+000, 0.000E+000
 1.001E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 1.315E-054, 2.078E-001, 3.868E-004, 5.305E-052, 0.000E+000
 2.003E+001, 2.330E+001, 2.386E+001, 2.495E+001, 2.614E+001, 2.743E+001, 2.882E+001, 2.955E+001, 3.104E+001, 3.254E+001, 1.800E+001, 1.823E+001, 1.816E+001, 1.809E+001, 1.805E+001, 1.805E+001, 1.806E+001, 1.807E+001, 1.808E+001, 1.809E+001, 1.810E+001, 1.800E+001, 1.827E+001, 1.821E+001, 1.815E+001, 1.804E+001, 1.805E+001, 1.806E+001, 1.807E+001, 1.807E+001, 1.809E+001, 1.810E+001, 1.800E+001, 1.810E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 2.073E+001, 2.101E+001, 2.155E+001, 2.136E+001, 2.080E+001, 2.053E+001, 1.998E+001, 1.802E+001, 1.807E+001, 1.809E+001, 1.802E+001, 1.807E+001, 1.874E+001, 1.889E+001, 1.806E+001, 1.805E+001, 1.888E+001, 1.870E+001, 1.806E+001, 1.802E+001, 1.807E+001, 1.806E+001, 1.802E+001, 1.831E+001, 1.820E+001, 1.803E+001, 1.803E+001, 1.803E+001, 1.819E+001, 1.800E+001, 1.800E+001, 1.802E+001, 1.800E+001, 1.802E+001, 1.803E+001, 1.800E+001, 1.803E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.802E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.803E+001, 1.803E+001, 1.802E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.803E+001, 1.802E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 5.192E-051, 2.065E-001, 1.165E-003, 2.439E-006, 0.000E+000
 3.001E+001, 5.147E+001, 5.281E+001, 5.554E+001, 5.852E+001, 6.162E+001, 6.461E+001, 6.609E+001, 6.931E+001, 7.265E+001, 1.800E+001, 1.962E+001, 2.330E+001, 2.232E+001, 2.045E+001, 1.833E+001, 1.839E+001, 1.832E+001, 1.834E+001, 1.840E+001, 1.846E+001, 1.800E+001, 1.951E+001, 2.191E+001, 1.985E+001, 1.820E+001, 1.822E+001, 1.825E+001, 1.830E+001, 1.832E+001, 1.837E+001, 1.843E+001, 1.800E+001, 1.839E+001, 1.808E+001, 1.808E+001, 1.808E+001, 1.808E+001, 1.807E+001, 1.806E+001, 1.806E+001, 1.805E+001, 1.805E+001, 3.971E+001, 4.167E+001, 4.628E+001, 4.760E+001, 4.481E+001, 4.128E+001, 3.841E+001, 1.925E+001, 2.109E+001, 2.180E+001, 1.925E+001, 2.238E+001, 2.623E+001, 2.721E+001, 2.227E+001, 2.267E+001, 2.641E+001, 2.780E+001, 2.228E+001, 1.910E+001, 2.127E+001, 2.085E+001, 1.932E+001, 2.405E+001, 2.500E+001, 1.975E+001, 2.123E+001, 2.016E+001, 2.519E+001, 1.800E+001, 1.802E+001, 1.810E+001, 1.802E+001, 1.810E+001, 1.872E+001, 1.802E+001, 1.811E+001, 1.915E+001, 1.800E+001, 1.802E+001, 1.811E+001, 1.801E+001, 1.802E+001, 1.804E+001, 1.810E+001, 1.855E+001, 1.843E+001, 1.812E+001, 1.800E+001, 1.800E+001, 1.803E+001, 1.802E+001, 1.811E+001, 1.810E+001, 1.802E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.802E+001, 1.802E+001, 1.800E+001, 2.078E-001, 3.868E-004, 2.701E-049, 2.028E-001, 3.296E-003, 9.114E-006, 0.000E+000
 4.001E+001, 7.485E+001, 7.711E+001, 8.188E+001, 8.710E+001, 9.277E+001, 9.852E+001, 1.013E+002, 1.081E+002, 1.153E+002, 1.800E+001, 2.240E+001, 3.319E+001, 3.145E+001, 2.725E+001, 2.048E+001, 1.949E+001, 1.885E+001, 1.888E+001, 1.902E+001, 1.919E+001, 1.800E+001, 2.187E+001, 2.830E+001, 2.330E+001, 1.881E+001, 1.857E+001, 1.866E+001, 1.877E+001, 1.884E+001, 1.896E+001, 1.911E+001, 1.800E+001, 1.956E+001, 2.072E+001, 1.938E+001, 1.823E+001, 1.820E+001, 1.819E+001, 1.817E+001, 1.816E+001, 1.815E+001, 1.815E+001, 6.137E+001, 6.518E+001, 7.186E+001, 7.334E+001, 7.162E+001, 6.412E+001, 5.981E+001, 2.637E+001, 2.809E+001, 2.934E+001, 2.802E+001, 3.409E+001, 3.891E+001, 3.807E+001, 3.424E+001, 3.327E+001, 4.010E+001, 3.942E+001, 3.384E+001, 2.741E+001, 2.877E+001, 2.921E+001, 2.676E+001, 3.642E+001, 3.704E+001, 2.786E+001, 2.924E+001, 2.836E+001, 3.903E+001, 1.801E+001, 1.935E+001, 2.293E+001, 1.815E+001, 2.070E+001, 2.635E+001, 1.835E+001, 2.119E+001, 2.694E+001, 1.805E+001, 2.014E+001, 2.358E+001, 1.802E+001, 1.834E+001, 1.990E+001, 2.265E+001, 2.247E+001, 2.292E+001, 2.256E+001, 1.801E+001, 1.801E+001, 1.815E+001, 1.865E+001, 1.925E+001, 1.887E+001, 1.897E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.801E+001, 1.805E+001, 1.805E+001, 1.807E+001, 2.078E-001, 3.868E-004, 1.413E-049, 1.999E-001, 5.025E-003, 1.453E-005, 0.000E+000
 5.001E+001, 8.701E+001, 8.810E+001, 9.346E+001, 1.003E+002, 1.089E+002, 1.187E+002, 1.236E+002, 1.361E+002, 1.517E+002, 1.800E+001, 2.637E+001, 4.212E+001, 4.026E+001, 3.401E+001, 2.693E+001, 2.066E+001, 1.980E+001, 1.984E+001, 2.013E+001, 2.043E+001, 1.800E+001, 2.563E+001, 3.674E+001, 3.149E+001, 2.417E+001, 2.023E+001, 1.941E+001, 1.963E+001, 1.976E+001, 2.003E+001, 2.034E+001, 1.800E+001, 2.172E+001, 2.678E+001, 2.173E+001, 1.848E+001, 1.843E+001, 1.841E+001, 1.839E+001, 1.837E+001, 1.834E+001, 1.835E+001, 7.749E+001, 8.268E+001, 9.108E+001, 9.238E+001, 9.361E+001, 8.641E+001, 7.923E+001, 3.652E+001, 3.909E+001, 3.692E+001, 3.497E+001, 4.799E+001, 5.357E+001, 4.927E+001, 4.542E+001, 4.525E+001, 5.266E+001, 5.045E+001, 4.514E+001, 3.555E+001, 3.970E+001, 3.576E+001, 3.487E+001, 5.139E+001, 4.984E+001, 3.845E+001, 3.688E+001, 3.542E+001, 4.841E+001, 2.209E+001, 2.747E+001, 3.193E+001, 2.441E+001, 2.979E+001, 3.677E+001, 2.390E+001, 2.855E+001, 3.495E+001, 2.226E+001, 2.749E+001, 3.161E+001, 2.019E+001, 2.432E+001, 2.835E+001, 3.178E+001, 3.067E+001, 2.938E+001, 3.030E+001, 1.878E+001, 2.074E+001, 2.474E+001, 2.516E+001, 2.528E+001, 2.505E+001, 2.613E+001, 1.807E+001, 1.912E+001, 2.128E+001, 2.090E+001, 2.129E+001, 2.087E+001, 2.208E+001, 2.078E-001, 3.868E-004, 9.040E-049, 1.984E-001, 5.857E-003, 1.714E-005, 0.000E+000
 6.000E+001, 1.079E+002, 1.070E+002, 1.091E+002, 1.150E+002, 1.231E+002, 1.325E+002, 1.379E+002, 1.522E+002, 1.704E+002, 1.801E+001, 3.285E+001, 5.981E+001, 5.572E+001, 4.256E+001, 3.212E+001, 2.377E+001, 2.149E+001, 2.142E+001, 2.171E+001, 2.205E+001, 1.801E+001, 3.060E+001, 4.767E+001, 4.231E+001, 3.305E+001, 2.747E+001, 2.172E+001, 2.115E+001, 2.129E+001, 2.165E+001, 2.202E+001, 1.800E+001, 2.434E+001, 3.234E+001, 2.486E+001, 1.890E+001, 1.877E+001, 1.875E+001, 1.870E+001, 1.867E+001, 1.862E+001, 1.862E+001, 1.019E+002, 1.091E+002, 1.193E+002, 1.208E+002, 1.209E+002, 1.109E+002, 1.022E+002, 4.591E+001, 4.672E+001, 4.748E+001, 4.312E+001, 5.979E+001, 6.437E+001, 6.384E+001, 5.847E+001, 5.274E+001, 6.434E+001, 6.237E+001, 5.678E+001, 4.113E+001, 4.531E+001, 4.517E+001, 4.376E+001, 6.437E+001, 5.442E+001, 4.475E+001, 4.366E+001, 4.450E+001, 6.530E+001, 3.200E+001, 3.777E+001, 4.178E+001, 3.404E+001, 4.105E+001, 4.965E+001, 3.405E+001, 3.954E+001, 4.540E+001, 2.999E+001, 3.404E+001, 3.901E+001, 2.755E+001, 3.104E+001, 3.341E+001, 3.645E+001, 3.593E+001, 3.650E+001, 3.833E+001, 2.521E+001, 2.836E+001, 3.016E+001, 3.228E+001, 3.034E+001, 3.182E+001, 3.399E+001, 2.223E+001, 2.511E+001, 2.792E+001, 2.774E+001, 2.755E+001, 2.775E+001, 2.951E+001, 2.078E-001, 3.868E-004, 1.795E-041, 1.953E-001, 7.660E-003, 2.278E-005, 0.000E+000
 7.000E+001, 1.227E+002, 1.210E+002, 1.265E+002, 1.355E+002, 1.466E+002, 1.613E+002, 1.690E+002, 1.888E+002, 2.144E+002, 1.802E+001, 4.034E+001, 7.075E+001, 6.565E+001, 5.037E+001, 3.664E+001, 2.454E+001, 2.307E+001, 2.322E+001, 2.354E+001, 2.393E+001, 1.802E+001, 3.887E+001, 6.170E+001, 5.554E+001, 4.299E+001, 3.433E+001, 2.437E+001, 2.324E+001, 2.339E+001, 2.375E+001, 2.421E+001, 1.801E+001, 2.735E+001, 3.725E+001, 2.881E+001, 2.047E+001, 1.952E+001, 1.928E+001, 1.913E+001, 1.906E+001, 1.897E+001, 1.895E+001, 1.270E+002, 1.349E+002, 1.474E+002, 1.476E+002, 1.501E+002, 1.415E+002, 1.270E+002, 6.017E+001, 6.161E+001, 6.082E+001, 5.759E+001, 7.319E+001, 8.440E+001, 7.956E+001, 6.724E+001, 6.414E+001, 8.073E+001, 7.913E+001, 7.025E+001, 4.710E+001, 5.275E+001, 5.155E+001, 5.316E+001, 8.042E+001, 6.468E+001, 5.235E+001, 5.186E+001, 5.326E+001, 7.791E+001, 4.394E+001, 5.043E+001, 5.655E+001, 4.636E+001, 5.410E+001, 6.246E+001, 4.296E+001, 4.713E+001, 5.446E+001, 3.806E+001, 3.956E+001, 4.423E+001, 3.321E+001, 3.523E+001, 3.830E+001, 4.242E+001, 3.999E+001, 4.220E+001, 4.747E+001, 3.112E+001, 3.301E+001, 3.570E+001, 3.570E+001, 3.571E+001, 3.891E+001, 4.307E+001, 2.840E+001, 2.963E+001, 3.155E+001, 3.279E+001, 3.323E+001, 3.586E+001, 3.899E+001, 2.078E-001, 3.868E-004, 2.485E-034, 1.925E-001, 9.310E-003, 2.795E-005, 0.000E+000
 8.001E+001, 1.603E+002, 1.586E+002, 1.632E+002, 1.732E+002, 1.875E+002, 2.063E+002, 2.171E+002, 2.439E+002, 2.775E+002, 1.804E+001, 5.021E+001, 8.437E+001, 7.828E+001, 6.387E+001, 4.255E+001, 2.924E+001, 2.532E+001, 2.534E+001, 2.554E+001, 2.594E+001, 1.804E+001, 4.901E+001, 7.850E+001, 6.957E+001, 5.500E+001, 4.233E+001, 2.779E+001, 2.601E+001, 2.616E+001, 2.658E+001, 2.713E+001, 1.802E+001, 3.193E+001, 4.611E+001, 3.838E+001, 2.909E+001, 2.498E+001, 2.348E+001, 2.223E+001, 2.156E+001, 2.065E+001, 2.039E+001, 1.523E+002, 1.628E+002, 1.822E+002, 1.854E+002, 1.883E+002, 1.738E+002, 1.594E+002, 7.197E+001, 8.151E+001, 7.560E+001, 7.253E+001, 8.727E+001, 1.010E+002, 9.362E+001, 8.681E+001, 7.549E+001, 9.894E+001, 9.315E+001, 8.018E+001, 5.825E+001, 5.943E+001, 6.238E+001, 6.223E+001, 9.651E+001, 8.047E+001, 5.777E+001, 5.703E+001, 6.359E+001, 9.780E+001, 5.368E+001, 6.125E+001, 6.721E+001, 5.793E+001, 6.637E+001, 7.339E+001, 5.802E+001, 6.337E+001, 6.717E+001, 5.048E+001, 4.829E+001, 5.163E+001, 4.187E+001, 4.110E+001, 4.688E+001, 4.590E+001, 4.526E+001, 4.852E+001, 5.624E+001, 3.753E+001, 3.863E+001, 3.987E+001, 3.940E+001, 4.129E+001, 4.567E+001, 5.183E+001, 3.362E+001, 3.460E+001, 3.660E+001, 3.609E+001, 3.884E+001, 4.329E+001, 4.806E+001, 2.078E-001, 3.868E-004, 2.935E-029, 1.879E-001, 1.204E-002, 3.650E-005, 0.000E+000
