s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,TC_001,TC_002,TC_003,TC_004,TC_005,TC_006,TC_007,TC_008,TC_009,TC_010,TC_011,TC_012,TC_013,TC_014,TC_015,TC_016,TC_017,TC_018,TC_019,TC_020,TC_021,TC_022,TC_023,TC_024,TC_025,TC_026,TC_027,TC_028,TC_029,TC_030,TC_031,TC_032,TC_033,TC_034,TC_035,TC_036,TC_037,TC_038,TC_039,TC_040,TC_041,TC_042,TC_043,TC_044,TC_045,TC_046,TC_047,TC_048,TC_049,TC_050,TC_051,TC_052,TC_053,TC_054,TC_055,TC_056,TC_057,TC_058,TC_059,TC_060,TC_061,TC_062,TC_063,TC_064,TC_065,TC_066,TC_067,TC_068,TC_069,TC_070,TC_071,TC_087,TC_088,TC_089,TC_090,TC_094,TC_095,TC_096,TC_097,O2_FLOOR,CO2_FLOOR,CO_FLOOR,O2_VENT,CO2_VENT,CO_VENT,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 0.000E+000, 2.078E-001, 3.868E-004, 0.000E+000, 0.000E+000
 1.003E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.805E+001, 1.810E+001, 1.828E+001, 1.858E+001, 1.800E+001, 1.806E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.803E+001, 1.800E+001, 1.806E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.802E+001, 1.803E+001, 1.800E+001, 1.803E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 2.078E-001, 3.868E-004, 3.454E-053, 2.078E-001, 3.868E-004, 4.463E-026, 0.000E+000
 2.001E+001, 5.294E+001, 5.527E+001, 5.944E+001, 6.372E+001, 6.820E+001, 7.282E+001, 7.506E+001, 7.995E+001, 8.502E+001, 1.800E+001, 1.960E+001, 2.164E+001, 2.074E+001, 1.959E+001, 1.879E+001, 1.830E+001, 1.836E+001, 1.839E+001, 1.846E+001, 1.854E+001, 1.800E+001, 1.977E+001, 2.042E+001, 1.923E+001, 1.827E+001, 1.823E+001, 1.828E+001, 1.833E+001, 1.836E+001, 1.842E+001, 1.850E+001, 1.800E+001, 1.849E+001, 1.808E+001, 1.808E+001, 1.809E+001, 1.808E+001, 1.808E+001, 1.807E+001, 1.806E+001, 1.806E+001, 1.806E+001, 3.963E+001, 4.106E+001, 4.537E+001, 4.678E+001, 4.311E+001, 3.978E+001, 3.637E+001, 1.871E+001, 2.028E+001, 1.997E+001, 1.834E+001, 2.033E+001, 2.494E+001, 2.436E+001, 2.060E+001, 2.046E+001, 2.446E+001, 2.453E+001, 1.964E+001, 1.833E+001, 2.011E+001, 1.997E+001, 1.890E+001, 2.220E+001, 2.223E+001, 1.909E+001, 1.967E+001, 1.919E+001, 2.232E+001, 1.811E+001, 1.817E+001, 1.817E+001, 1.811E+001, 1.802E+001, 1.812E+001, 1.811E+001, 1.802E+001, 2.078E-001, 3.868E-004, 1.733E-050, 2.010E-001, 4.353E-003, 1.242E-005, 0.000E+000
 3.001E+001, 1.084E+002, 1.110E+002, 1.178E+002, 1.267E+002, 1.385E+002, 1.518E+002, 1.589E+002, 1.779E+002, 2.003E+002, 1.800E+001, 2.630E+001, 4.343E+001, 3.691E+001, 2.684E+001, 2.216E+001, 1.986E+001, 1.959E+001, 1.971E+001, 1.998E+001, 2.033E+001, 1.800E+001, 2.558E+001, 3.189E+001, 2.412E+001, 1.914E+001, 1.906E+001, 1.925E+001, 1.948E+001, 1.961E+001, 1.989E+001, 2.020E+001, 1.800E+001, 2.047E+001, 2.163E+001, 2.005E+001, 1.839E+001, 1.833E+001, 1.833E+001, 1.830E+001, 1.829E+001, 1.827E+001, 1.828E+001, 9.126E+001, 9.782E+001, 1.058E+002, 1.064E+002, 1.024E+002, 9.253E+001, 8.353E+001, 3.232E+001, 3.631E+001, 3.374E+001, 3.276E+001, 4.123E+001, 5.163E+001, 5.468E+001, 4.413E+001, 4.326E+001, 5.040E+001, 5.505E+001, 4.364E+001, 2.973E+001, 3.533E+001, 3.746E+001, 3.327E+001, 4.776E+001, 4.977E+001, 3.206E+001, 3.438E+001, 3.367E+001, 5.164E+001, 2.296E+001, 2.447E+001, 2.548E+001, 2.413E+001, 1.954E+001, 1.991E+001, 1.980E+001, 1.890E+001, 2.078E-001, 3.868E-004, 7.374E-045, 1.949E-001, 7.930E-003, 2.363E-005, 0.000E+000
 4.001E+001, 1.722E+002, 1.771E+002, 1.904E+002, 2.088E+002, 2.314E+002, 2.576E+002, 2.709E+002, 3.025E+002, 3.379E+002, 1.800E+001, 4.045E+001, 7.135E+001, 5.622E+001, 3.230E+001, 2.310E+001, 2.215E+001, 2.242E+001, 2.276E+001, 2.341E+001, 2.417E+001, 1.800E+001, 3.837E+001, 5.096E+001, 3.546E+001, 2.162E+001, 2.113E+001, 2.169E+001, 2.225E+001, 2.253E+001, 2.311E+001, 2.380E+001, 1.800E+001, 2.577E+001, 3.011E+001, 2.102E+001, 1.878E+001, 1.876E+001, 1.875E+001, 1.870E+001, 1.868E+001, 1.865E+001, 1.869E+001, 1.505E+002, 1.602E+002, 1.698E+002, 1.708E+002, 1.621E+002, 1.468E+002, 1.324E+002, 5.278E+001, 5.536E+001, 5.597E+001, 5.288E+001, 7.127E+001, 8.453E+001, 9.065E+001, 7.069E+001, 7.224E+001, 8.202E+001, 8.905E+001, 7.562E+001, 4.821E+001, 5.110E+001, 5.575E+001, 5.348E+001, 7.888E+001, 7.807E+001, 5.134E+001, 5.339E+001, 5.582E+001, 8.441E+001, 3.776E+001, 4.163E+001, 4.265E+001, 4.281E+001, 3.108E+001, 3.449E+001, 3.343E+001, 3.293E+001, 2.078E-001, 3.868E-004, 3.830E-043, 1.856E-001, 1.336E-002, 4.063E-005, 0.000E+000
 5.000E+001, 2.299E+002, 2.329E+002, 2.501E+002, 2.743E+002, 3.042E+002, 3.406E+002, 3.602E+002, 4.065E+002, 4.661E+002, 1.801E+001, 6.390E+001, 9.681E+001, 7.514E+001, 4.199E+001, 2.717E+001, 2.735E+001, 2.806E+001, 2.847E+001, 2.945E+001, 3.064E+001, 1.801E+001, 5.879E+001, 6.800E+001, 4.456E+001, 2.546E+001, 2.559E+001, 2.625E+001, 2.694E+001, 2.733E+001, 2.820E+001, 2.925E+001, 1.800E+001, 3.293E+001, 4.348E+001, 2.839E+001, 1.964E+001, 1.949E+001, 1.943E+001, 1.936E+001, 1.932E+001, 1.929E+001, 1.936E+001, 2.310E+002, 2.390E+002, 2.436E+002, 2.442E+002, 2.293E+002, 2.088E+002, 1.891E+002, 6.643E+001, 6.761E+001, 7.597E+001, 7.541E+001, 9.842E+001, 1.124E+002, 1.402E+002, 9.747E+001, 9.325E+001, 1.093E+002, 1.363E+002, 9.589E+001, 6.801E+001, 6.708E+001, 7.657E+001, 6.638E+001, 1.013E+002, 9.607E+001, 7.330E+001, 6.958E+001, 7.837E+001, 1.164E+002, 5.405E+001, 5.167E+001, 5.464E+001, 5.721E+001, 4.168E+001, 4.375E+001, 4.285E+001, 4.436E+001, 2.078E-001, 3.868E-004, 6.471E-038, 1.759E-001, 1.905E-002, 5.846E-005, 0.000E+000
 6.001E+001, 2.712E+002, 2.625E+002, 2.665E+002, 2.873E+002, 3.161E+002, 3.544E+002, 3.773E+002, 4.321E+002, 4.977E+002, 1.803E+001, 8.866E+001, 1.086E+002, 7.794E+001, 3.915E+001, 3.298E+001, 3.348E+001, 3.431E+001, 3.488E+001, 3.609E+001, 3.759E+001, 1.803E+001, 7.906E+001, 8.386E+001, 6.036E+001, 3.264E+001, 3.089E+001, 3.140E+001, 3.208E+001, 3.251E+001, 3.353E+001, 3.478E+001, 1.801E+001, 4.173E+001, 5.513E+001, 3.343E+001, 2.109E+001, 2.042E+001, 2.022E+001, 1.992E+001, 1.985E+001, 1.985E+001, 1.997E+001, 2.941E+002, 3.039E+002, 3.058E+002, 3.022E+002, 2.798E+002, 2.578E+002, 2.342E+002, 8.582E+001, 8.700E+001, 1.001E+002, 9.930E+001, 1.260E+002, 1.435E+002, 1.882E+002, 1.075E+002, 1.225E+002, 1.434E+002, 1.873E+002, 1.078E+002, 8.647E+001, 8.977E+001, 9.817E+001, 9.245E+001, 1.271E+002, 1.253E+002, 8.946E+001, 8.800E+001, 9.476E+001, 1.446E+002, 6.887E+001, 6.281E+001, 6.501E+001, 7.310E+001, 5.050E+001, 5.031E+001, 5.394E+001, 5.856E+001, 2.078E-001, 3.868E-004, 3.880E-029, 1.708E-001, 2.199E-002, 6.768E-005, 0.000E+000
 7.000E+001, 2.417E+002, 2.419E+002, 2.571E+002, 2.788E+002, 3.058E+002, 3.381E+002, 3.574E+002, 4.033E+002, 4.611E+002, 1.809E+001, 9.548E+001, 9.870E+001, 6.340E+001, 3.654E+001, 3.499E+001, 3.535E+001, 3.630E+001, 3.688E+001, 3.806E+001, 3.973E+001, 1.808E+001, 8.740E+001, 8.861E+001, 6.453E+001, 3.543E+001, 3.234E+001, 3.277E+001, 3.349E+001, 3.409E+001, 3.516E+001, 3.632E+001, 1.803E+001, 4.527E+001, 5.419E+001, 3.397E+001, 2.198E+001, 2.106E+001, 2.033E+001, 1.979E+001, 1.975E+001, 1.986E+001, 2.007E+001, 2.802E+002, 2.914E+002, 2.851E+002, 2.787E+002, 2.571E+002, 2.390E+002, 2.175E+002, 9.247E+001, 8.882E+001, 1.058E+002, 1.002E+002, 1.232E+002, 1.469E+002, 1.682E+002, 9.916E+001, 1.195E+002, 1.469E+002, 1.638E+002, 1.051E+002, 8.797E+001, 9.581E+001, 9.945E+001, 9.595E+001, 1.306E+002, 1.265E+002, 9.187E+001, 9.724E+001, 9.244E+001, 1.345E+002, 6.974E+001, 6.985E+001, 6.972E+001, 7.003E+001, 5.427E+001, 5.630E+001, 5.612E+001, 5.865E+001, 2.077E-001, 3.868E-004, 3.879E-028, 1.761E-001, 1.835E-002, 5.628E-005, 2.000E+000
 8.000E+001, 2.716E+002, 2.778E+002, 3.054E+002, 3.434E+002, 3.891E+002, 4.382E+002, 4.618E+002, 5.131E+002, 5.661E+002, 1.823E+001, 9.041E+001, 1.157E+002, 8.803E+001, 6.138E+001, 5.105E+001, 3.822E+001, 3.647E+001, 3.655E+001, 3.650E+001, 3.787E+001, 1.821E+001, 9.007E+001, 9.503E+001, 7.071E+001, 3.506E+001, 3.152E+001, 3.248E+001, 3.329E+001, 3.463E+001, 3.613E+001, 3.705E+001, 1.807E+001, 4.618E+001, 5.272E+001, 3.504E+001, 2.237E+001, 2.146E+001, 2.022E+001, 1.981E+001, 1.976E+001, 1.989E+001, 2.014E+001, 2.508E+002, 2.702E+002, 2.829E+002, 2.825E+002, 2.748E+002, 2.546E+002, 2.276E+002, 8.667E+001, 9.755E+001, 9.434E+001, 9.674E+001, 1.154E+002, 1.483E+002, 1.162E+002, 1.079E+002, 1.214E+002, 1.477E+002, 1.120E+002, 1.112E+002, 8.491E+001, 1.004E+002, 1.062E+002, 9.455E+001, 1.322E+002, 1.333E+002, 9.125E+001, 1.018E+002, 8.799E+001, 1.356E+002, 6.839E+001, 7.296E+001, 7.586E+001, 7.348E+001, 5.444E+001, 5.829E+001, 5.751E+001, 6.070E+001, 2.071E-001, 3.855E-004, 1.187E-013, 1.652E-001, 2.224E-002, 6.850E-005, 2.000E+000
