s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,
Time,TC_001,TC_002,TC_003,TC_004,TC_005,TC_006,TC_007,TC_008,TC_009,TC_010,TC_011,TC_012,TC_013,TC_014,TC_015,TC_016,TC_017,TC_018,TC_019,TC_020,TC_021,TC_022,TC_023,TC_024,TC_025,TC_026,TC_027,TC_028,TC_029,TC_030,TC_031,TC_032,TC_033,TC_034,TC_035,TC_036,TC_037,TC_038,TC_039,TC_040,TC_041,TC_042,TC_043,TC_044,TC_045,TC_046,TC_047,TC_048,TC_049,TC_054,TC_055,TC_056,TC_057,TC_058,TC_059,TC_060,TC_061,TC_062,TC_063,TC_064,TC_065,TC_066,TC_067,TC_068,TC_069,TC_070,TC_071,TC_075,TC_076,TC_077,TC_078,TC_079,TC_080,TC_081,TC_082,TC_083,TC_084,TC_085,TC_086,TC_087,TC_088,TC_089,TC_090,TC_091,TC_092,TC_093,TC_094,TC_095,TC_096,TC_097,TC_098,TC_099,TC_100,TC_101,TC_102,TC_103,TC_104,O2_FLOOR,CO2_FLOOR,CO_FLOOR,O2_VENT,CO2_VENT,CO_VENT,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 0.000E+000, 2.078E-001, 3.868E-004, 0.000E+000, 0.000E+000
 1.002E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.804E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.804E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.806E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.805E+001, 1.809E+001, 1.827E+001, 1.859E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.802E+001, 1.802E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.801E+001, 1.800E+001, 1.800E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.801E+001, 1.800E+001, 1.800E+001, 2.078E-001, 3.868E-004, 2.190E-113, 2.078E-001, 3.868E-004, 1.181E-155, 0.000E+000
 2.001E+001, 1.820E+001, 1.813E+001, 1.809E+001, 1.809E+001, 1.808E+001, 1.807E+001, 1.806E+001, 1.806E+001, 1.806E+001, 1.800E+001, 1.854E+001, 1.808E+001, 1.807E+001, 1.806E+001, 1.805E+001, 1.804E+001, 1.803E+001, 1.803E+001, 1.803E+001, 1.804E+001, 1.800E+001, 1.854E+001, 1.808E+001, 1.807E+001, 1.806E+001, 1.805E+001, 1.804E+001, 1.803E+001, 1.803E+001, 1.803E+001, 1.804E+001, 1.800E+001, 2.294E+001, 4.447E+001, 4.609E+001, 4.915E+001, 5.225E+001, 5.602E+001, 6.047E+001, 6.287E+001, 6.801E+001, 7.357E+001, 1.809E+001, 1.808E+001, 1.809E+001, 1.810E+001, 1.818E+001, 1.820E+001, 1.817E+001, 1.875E+001, 1.828E+001, 1.805E+001, 1.803E+001, 2.144E+001, 1.949E+001, 1.847E+001, 1.802E+001, 2.784E+001, 2.321E+001, 1.902E+001, 1.812E+001, 1.845E+001, 2.018E+001, 2.562E+001, 2.027E+001, 1.842E+001, 1.804E+001, 1.804E+001, 1.830E+001, 1.859E+001, 1.825E+001, 1.959E+001, 2.193E+001, 1.899E+001, 2.181E+001, 2.732E+001, 1.888E+001, 2.142E+001, 2.665E+001, 2.811E+001, 2.196E+001, 1.881E+001, 1.813E+001, 1.821E+001, 1.904E+001, 2.167E+001, 2.143E+001, 1.951E+001, 1.824E+001, 1.802E+001, 1.804E+001, 1.816E+001, 1.846E+001, 1.871E+001, 1.816E+001, 1.805E+001, 1.803E+001, 2.078E-001, 3.868E-004, 5.086E-084, 2.077E-001, 4.618E-004, 2.348E-007, 0.000E+000
 3.000E+001, 2.121E+001, 1.970E+001, 1.842E+001, 1.834E+001, 1.833E+001, 1.830E+001, 1.829E+001, 1.827E+001, 1.828E+001, 1.800E+001, 2.057E+001, 2.145E+001, 2.061E+001, 1.892E+001, 1.820E+001, 1.817E+001, 1.815E+001, 1.815E+001, 1.816E+001, 1.819E+001, 1.800E+001, 2.041E+001, 2.051E+001, 1.967E+001, 1.862E+001, 1.820E+001, 1.817E+001, 1.815E+001, 1.814E+001, 1.815E+001, 1.819E+001, 1.800E+001, 3.817E+001, 9.840E+001, 1.005E+002, 1.072E+002, 1.162E+002, 1.275E+002, 1.408E+002, 1.486E+002, 1.657E+002, 1.852E+002, 2.422E+001, 2.368E+001, 2.398E+001, 2.446E+001, 2.439E+001, 2.424E+001, 2.451E+001, 3.056E+001, 2.715E+001, 2.123E+001, 2.025E+001, 4.078E+001, 3.310E+001, 2.836E+001, 2.218E+001, 5.727E+001, 4.364E+001, 3.236E+001, 2.466E+001, 2.892E+001, 3.631E+001, 4.986E+001, 3.658E+001, 2.776E+001, 2.061E+001, 2.343E+001, 2.691E+001, 2.766E+001, 2.792E+001, 3.304E+001, 3.888E+001, 3.056E+001, 4.180E+001, 5.708E+001, 3.043E+001, 4.043E+001, 5.889E+001, 6.059E+001, 4.344E+001, 3.220E+001, 2.375E+001, 2.740E+001, 3.483E+001, 3.759E+001, 3.881E+001, 3.495E+001, 2.897E+001, 2.263E+001, 2.437E+001, 2.625E+001, 2.781E+001, 2.844E+001, 2.632E+001, 2.337E+001, 2.018E+001, 2.078E-001, 3.868E-004, 6.816E-070, 2.063E-001, 1.270E-003, 2.767E-006, 0.000E+000
 4.001E+001, 2.623E+001, 2.069E+001, 1.887E+001, 1.884E+001, 1.883E+001, 1.879E+001, 1.877E+001, 1.875E+001, 1.881E+001, 1.800E+001, 2.491E+001, 3.152E+001, 2.454E+001, 1.944E+001, 1.851E+001, 1.846E+001, 1.843E+001, 1.843E+001, 1.847E+001, 1.857E+001, 1.800E+001, 2.503E+001, 3.070E+001, 2.448E+001, 1.896E+001, 1.850E+001, 1.844E+001, 1.841E+001, 1.842E+001, 1.846E+001, 1.856E+001, 1.800E+001, 6.986E+001, 1.660E+002, 1.688E+002, 1.808E+002, 1.976E+002, 2.202E+002, 2.493E+002, 2.659E+002, 3.038E+002, 3.465E+002, 3.879E+001, 3.752E+001, 3.806E+001, 3.898E+001, 3.892E+001, 3.937E+001, 4.119E+001, 4.765E+001, 4.452E+001, 3.333E+001, 3.164E+001, 6.637E+001, 5.313E+001, 4.329E+001, 3.521E+001, 9.239E+001, 6.353E+001, 4.585E+001, 3.750E+001, 4.750E+001, 5.987E+001, 7.606E+001, 5.307E+001, 4.115E+001, 3.350E+001, 3.515E+001, 4.191E+001, 4.639E+001, 4.287E+001, 5.082E+001, 6.218E+001, 4.479E+001, 6.109E+001, 9.323E+001, 4.555E+001, 6.435E+001, 9.672E+001, 9.388E+001, 6.450E+001, 4.881E+001, 3.726E+001, 4.504E+001, 5.470E+001, 6.037E+001, 6.086E+001, 5.550E+001, 4.327E+001, 3.703E+001, 3.792E+001, 4.154E+001, 4.402E+001, 4.557E+001, 4.401E+001, 3.779E+001, 3.047E+001, 2.078E-001, 3.868E-004, 1.105E-056, 2.048E-001, 2.157E-003, 5.544E-006, 0.000E+000
 5.000E+001, 3.388E+001, 2.393E+001, 1.978E+001, 1.968E+001, 1.963E+001, 1.967E+001, 1.967E+001, 1.977E+001, 2.001E+001, 1.800E+001, 3.185E+001, 4.357E+001, 3.070E+001, 2.073E+001, 1.902E+001, 1.897E+001, 1.898E+001, 1.902E+001, 1.915E+001, 1.934E+001, 1.800E+001, 3.170E+001, 4.180E+001, 2.881E+001, 1.958E+001, 1.900E+001, 1.895E+001, 1.896E+001, 1.901E+001, 1.914E+001, 1.932E+001, 1.802E+001, 1.675E+002, 2.820E+002, 2.918E+002, 3.198E+002, 3.544E+002, 3.928E+002, 4.363E+002, 4.604E+002, 5.130E+002, 5.720E+002, 5.666E+001, 5.488E+001, 5.541E+001, 5.679E+001, 5.745E+001, 5.861E+001, 6.183E+001, 6.365E+001, 6.562E+001, 4.795E+001, 4.620E+001, 9.147E+001, 7.498E+001, 6.133E+001, 4.791E+001, 1.377E+002, 8.337E+001, 6.149E+001, 4.748E+001, 6.620E+001, 8.625E+001, 1.077E+002, 7.072E+001, 5.195E+001, 4.816E+001, 5.172E+001, 5.858E+001, 5.962E+001, 5.727E+001, 7.437E+001, 8.395E+001, 5.877E+001, 8.315E+001, 1.390E+002, 6.012E+001, 8.198E+001, 1.417E+002, 1.427E+002, 8.419E+001, 5.986E+001, 4.741E+001, 6.209E+001, 7.924E+001, 8.327E+001, 9.342E+001, 7.794E+001, 6.479E+001, 4.915E+001, 5.435E+001, 5.967E+001, 6.131E+001, 6.392E+001, 6.385E+001, 5.345E+001, 4.696E+001, 2.078E-001, 3.868E-004, 1.968E-047, 2.031E-001, 3.120E-003, 8.562E-006, 0.000E+000
 6.001E+001, 4.482E+001, 3.114E+001, 2.157E+001, 2.112E+001, 2.100E+001, 2.109E+001, 2.115E+001, 2.138E+001, 2.164E+001, 1.801E+001, 3.823E+001, 5.382E+001, 3.885E+001, 2.399E+001, 1.980E+001, 1.979E+001, 1.991E+001, 1.999E+001, 2.018E+001, 2.028E+001, 1.801E+001, 3.748E+001, 5.126E+001, 3.390E+001, 2.099E+001, 1.971E+001, 1.972E+001, 1.986E+001, 1.995E+001, 2.015E+001, 2.009E+001, 1.807E+001, 3.067E+002, 3.654E+002, 3.714E+002, 4.038E+002, 4.517E+002, 5.103E+002, 5.756E+002, 6.097E+002, 6.857E+002, 7.624E+002, 7.582E+001, 7.498E+001, 7.744E+001, 7.960E+001, 8.080E+001, 8.191E+001, 8.404E+001, 7.255E+001, 7.831E+001, 6.547E+001, 5.971E+001, 1.040E+002, 1.008E+002, 7.655E+001, 5.891E+001, 1.946E+002, 1.076E+002, 7.825E+001, 5.949E+001, 7.740E+001, 1.089E+002, 1.437E+002, 8.977E+001, 6.765E+001, 6.442E+001, 6.932E+001, 7.682E+001, 7.575E+001, 7.617E+001, 1.001E+002, 1.115E+002, 7.529E+001, 1.082E+002, 1.935E+002, 7.368E+001, 1.063E+002, 1.843E+002, 1.823E+002, 1.023E+002, 7.162E+001, 5.406E+001, 7.733E+001, 9.887E+001, 1.098E+002, 1.137E+002, 9.501E+001, 7.750E+001, 5.922E+001, 7.064E+001, 7.804E+001, 7.560E+001, 7.877E+001, 7.946E+001, 6.732E+001, 5.997E+001, 2.078E-001, 3.868E-004, 2.290E-038, 2.013E-001, 4.188E-003, 1.191E-005, 3.000E+000
 7.001E+001, 4.794E+001, 3.697E+001, 2.312E+001, 2.155E+001, 2.137E+001, 2.127E+001, 2.124E+001, 2.121E+001, 2.128E+001, 1.803E+001, 3.893E+001, 5.418E+001, 3.931E+001, 2.499E+001, 2.051E+001, 2.023E+001, 2.025E+001, 2.026E+001, 2.020E+001, 2.009E+001, 1.803E+001, 3.812E+001, 5.108E+001, 3.625E+001, 2.234E+001, 2.035E+001, 2.019E+001, 2.028E+001, 2.042E+001, 2.046E+001, 1.979E+001, 1.824E+001, 3.246E+002, 3.562E+002, 3.617E+002, 3.894E+002, 4.324E+002, 4.872E+002, 5.498E+002, 5.832E+002, 6.518E+002, 7.218E+002, 7.042E+001, 6.971E+001, 7.195E+001, 7.319E+001, 7.529E+001, 7.658E+001, 8.030E+001, 7.528E+001, 7.612E+001, 6.255E+001, 5.957E+001, 1.085E+002, 8.677E+001, 7.528E+001, 5.799E+001, 1.323E+002, 1.066E+002, 7.335E+001, 5.666E+001, 7.332E+001, 1.007E+002, 1.346E+002, 8.362E+001, 6.240E+001, 6.490E+001, 6.758E+001, 7.542E+001, 7.234E+001, 7.158E+001, 8.742E+001, 1.054E+002, 6.990E+001, 9.978E+001, 1.303E+002, 7.062E+001, 1.001E+002, 1.302E+002, 1.363E+002, 1.000E+002, 6.677E+001, 5.429E+001, 7.359E+001, 8.534E+001, 1.002E+002, 1.063E+002, 8.491E+001, 7.207E+001, 5.846E+001, 6.349E+001, 6.824E+001, 6.950E+001, 7.356E+001, 7.607E+001, 6.411E+001, 5.810E+001, 2.078E-001, 3.868E-004, 1.998E-032, 1.998E-001, 4.144E-003, 1.178E-005, 4.000E+000
 8.001E+001, 4.181E+001, 2.961E+001, 2.120E+001, 2.059E+001, 2.040E+001, 2.029E+001, 2.026E+001, 2.025E+001, 2.029E+001, 1.807E+001, 3.712E+001, 4.810E+001, 3.455E+001, 2.240E+001, 2.010E+001, 1.962E+001, 1.948E+001, 1.945E+001, 1.942E+001, 1.942E+001, 1.807E+001, 3.681E+001, 4.700E+001, 3.266E+001, 2.148E+001, 2.016E+001, 2.020E+001, 2.041E+001, 2.044E+001, 1.974E+001, 1.907E+001, 1.866E+001, 2.779E+002, 2.806E+002, 2.764E+002, 2.894E+002, 3.143E+002, 3.507E+002, 3.939E+002, 4.177E+002, 4.711E+002, 5.309E+002, 5.967E+001, 5.860E+001, 6.022E+001, 6.201E+001, 6.553E+001, 6.728E+001, 7.074E+001, 6.701E+001, 6.892E+001, 5.454E+001, 5.454E+001, 9.451E+001, 7.897E+001, 6.804E+001, 5.108E+001, 1.061E+002, 9.230E+001, 6.980E+001, 5.304E+001, 6.847E+001, 8.924E+001, 1.215E+002, 7.871E+001, 6.015E+001, 5.702E+001, 5.604E+001, 6.293E+001, 6.531E+001, 6.177E+001, 8.195E+001, 9.226E+001, 6.443E+001, 9.295E+001, 1.090E+002, 6.424E+001, 9.323E+001, 1.191E+002, 1.178E+002, 1.040E+002, 6.410E+001, 5.120E+001, 6.739E+001, 8.038E+001, 9.622E+001, 1.043E+002, 8.287E+001, 6.784E+001, 5.599E+001, 5.459E+001, 6.689E+001, 6.808E+001, 6.824E+001, 6.802E+001, 5.869E+001, 5.258E+001, 2.078E-001, 3.868E-004, 1.250E-028, 1.962E-001, 4.697E-003, 1.353E-005, 4.000E+000
