s,C,C,C,m/s,m/s,C,C,C,
Time,TC Array 1,TC Array 2,TC Array 3,Velocity Probe 1,Velocity Probe 2,Slow,Medium,Fast,Acts
 0.000E+000, 1.800E+001, 1.800E+001, 1.800E+001, 3.280E-003, 7.248E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 1.006E+001, 1.801E+001, 1.801E+001, 1.800E+001, 3.886E-003, 9.491E-003, 1.800E+001, 1.800E+001, 1.800E+001, 0.000E+000
 2.003E+001, 2.154E+001, 2.736E+001, 1.801E+001, 1.894E-001, 1.280E+000, 1.800E+001, 1.800E+001, 1.801E+001, 0.000E+000
 3.001E+001, 4.188E+001, 8.229E+001, 1.806E+001, 1.877E+000, 2.888E+000, 1.826E+001, 1.845E+001, 2.010E+001, 0.000E+000
 4.001E+001, 6.333E+001, 1.566E+002, 1.828E+001, 2.211E+000, 3.710E+000, 1.923E+001, 2.010E+001, 2.674E+001, 0.000E+000
 5.000E+001, 9.107E+001, 2.390E+002, 2.611E+001, 3.064E+000, 4.875E+000, 2.125E+001, 2.349E+001, 3.875E+001, 0.000E+000
 6.001E+001, 1.188E+002, 2.867E+002, 3.896E+001, 3.117E+000, 5.421E+000, 2.461E+001, 2.902E+001, 5.567E+001, 2.000E+000
 7.000E+001, 1.547E+002, 3.263E+002, 4.328E+001, 3.606E+000, 6.424E+000, 2.948E+001, 3.689E+001, 7.685E+001, 2.000E+000
 8.001E+001, 1.869E+002, 4.625E+002, 5.542E+001, 3.359E+000, 6.661E+000, 3.562E+001, 4.661E+001, 9.968E+001, 6.000E+000
 9.000E+001, 1.962E+002, 4.749E+002, 5.962E+001, 3.070E+000, 6.685E+000, 4.225E+001, 5.679E+001, 1.191E+002, 8.000E+000
 1.000E+002, 1.844E+002, 4.807E+002, 6.398E+001, 2.344E+000, 6.860E+000, 4.790E+001, 6.510E+001, 1.292E+002, 1.400E+001
 1.100E+002, 1.586E+002, 4.877E+002, 5.010E+001, 1.277E+000, 6.551E+000, 5.129E+001, 6.964E+001, 1.276E+002, 1.900E+001
 1.200E+002, 1.666E+002, 4.423E+002, 4.844E+001, 1.915E+000, 7.046E+000, 5.342E+001, 7.204E+001, 1.205E+002, 2.000E+001
 1.300E+002, 1.616E+002, 4.084E+002, 5.053E+001, 1.453E+000, 6.150E+000, 5.576E+001, 7.465E+001, 1.157E+002, 2.200E+001
 1.400E+002, 1.874E+002, 4.569E+002, 4.694E+001, 2.381E+000, 7.151E+000, 5.807E+001, 7.718E+001, 1.132E+002, 2.200E+001
 1.500E+002, 1.684E+002, 5.026E+002, 4.155E+001, 1.637E+000, 6.267E+000, 6.071E+001, 8.017E+001, 1.134E+002, 2.200E+001
 1.600E+002, 1.654E+002, 4.914E+002, 4.668E+001, 1.321E+000, 5.861E+000, 6.244E+001, 8.179E+001, 1.103E+002, 2.200E+001
 1.700E+002, 1.770E+002, 4.867E+002, 4.484E+001, 1.974E+000, 6.512E+000, 6.417E+001, 8.340E+001, 1.086E+002, 2.400E+001
 1.800E+002, 1.670E+002, 4.892E+002, 4.900E+001, 1.311E+000, 6.005E+000, 6.597E+001, 8.507E+001, 1.075E+002, 2.800E+001
 1.900E+002, 1.721E+002, 5.021E+002, 4.545E+001, 1.509E+000, 6.553E+000, 6.740E+001, 8.625E+001, 1.061E+002, 2.900E+001
 2.000E+002, 1.687E+002, 4.816E+002, 4.746E+001, 1.614E+000, 6.224E+000, 6.908E+001, 8.775E+001, 1.063E+002, 3.000E+001
 2.100E+002, 1.775E+002, 4.822E+002, 4.284E+001, 1.350E+000, 6.555E+000, 7.056E+001, 8.902E+001, 1.062E+002, 3.000E+001
 2.200E+002, 1.761E+002, 4.810E+002, 4.707E+001, 1.972E+000, 6.567E+000, 7.206E+001, 9.028E+001, 1.064E+002, 3.000E+001
 2.300E+002, 1.788E+002, 4.670E+002, 4.479E+001, 2.307E+000, 7.071E+000, 7.386E+001, 9.189E+001, 1.077E+002, 3.000E+001
 2.400E+002, 1.817E+002, 4.531E+002, 4.570E+001, 2.589E+000, 7.301E+000, 7.609E+001, 9.407E+001, 1.109E+002, 3.000E+001
 2.500E+002, 1.880E+002, 4.333E+002, 4.693E+001, 2.644E+000, 7.754E+000, 7.817E+001, 9.601E+001, 1.127E+002, 3.100E+001
 2.600E+002, 1.783E+002, 4.934E+002, 4.823E+001, 1.996E+000, 7.149E+000, 8.019E+001, 9.791E+001, 1.145E+002, 3.200E+001
 2.700E+002, 1.774E+002, 5.032E+002, 4.640E+001, 1.994E+000, 7.326E+000, 8.138E+001, 9.851E+001, 1.111E+002, 3.200E+001
 2.800E+002, 1.899E+002, 4.905E+002, 4.536E+001, 2.230E+000, 7.179E+000, 8.252E+001, 9.907E+001, 1.092E+002, 3.200E+001
 2.900E+002, 1.871E+002, 4.948E+002, 4.710E+001, 2.024E+000, 6.671E+000, 8.400E+001, 1.002E+002, 1.103E+002, 3.200E+001
 3.000E+002, 1.777E+002, 4.807E+002, 4.604E+001, 1.822E+000, 6.379E+000, 8.522E+001, 1.011E+002, 1.109E+002, 3.300E+001
 3.100E+002, 1.794E+002, 5.034E+002, 4.763E+001, 1.822E+000, 6.344E+000, 8.644E+001, 1.019E+002, 1.111E+002, 3.300E+001
 3.200E+002, 1.877E+002, 4.860E+002, 4.736E+001, 2.168E+000, 6.903E+000, 8.775E+001, 1.029E+002, 1.124E+002, 3.300E+001
